País;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;TOTAL
Gran Total;107821;67180;63917;68614;57022;57160;65110;60941;56076;57059;58334;73861;793095
AMÉRICA DEL NORTE;8417;8420;8730;7054;5507;6132;6745;5785;4367;4941;5220;6409;77727
Canadá;2838;3092;2507;1700;1169;875;921;918;632;669;1030;1441;17792
Estados Unidos;5186;4984;5829;4898;3930;4732;5160;4394;3387;3808;3808;4384;54500
México;393;344;394;456;408;525;664;473;348;464;382;584;5435
AMÉRICA CENTRAL;86452;47355;44138;52242;43868;44486;49080;44297;44493;45326;43752;57258;602747
Belice;21;13;19;26;8;13;5;12;11;10;13;23;174
El Salvador;4065;3247;3890;3971;3345;3251;3541;4576;3223;3421;3625;4761;44916
Guatemala;2188;2011;2178;2092;2169;2025;2124;2291;1895;2169;2340;2720;26202
Honduras;2673;1446;2223;1896;1779;1633;2427;2163;2330;2251;2021;2903;25745
Nicaragua;67162;34419;31174;40143;32128;33574;36759;31075;30043;31082;28554;38459;434572
Panamá;10343;6219;4654;4114;4439;3990;4224;4180;6991;6393;7199;8392;71138
AMÉRICA DEL SUR;3558;2465;2078;2007;1881;1688;2205;1962;1951;1931;2192;2262;26180
Argentina;1364;671;581;424;386;324;430;305;304;282;351;366;5788
Bolivia;26;36;29;35;17;11;31;13;15;15;23;35;286
Brasil;296;166;136;147;138;158;181;104;114;108;122;158;1828
Chile;387;381;162;119;84;106;132;85;111;107;112;120;1906
Colombia;491;317;334;339;264;263;364;227;238;235;257;323;3652
Ecuador;30;21;39;43;30;20;30;27;30;26;32;33;361
Guyana;1;;2;;2;2;1;1;4;7;1;1;22
Paraguay;9;10;4;8;2;3;5;8;5;4;4;5;67
Perú;66;86;63;65;48;53;51;55;43;39;39;83;691
Surinam;;1;;;1;1;3;;;;;;6
Uruguay;76;44;39;41;51;41;39;54;22;32;31;29;499
Venezuela;812;732;689;786;858;706;938;1083;1065;1076;1220;1109;11074
CARIBE;42;43;43;53;50;49;64;112;43;48;49;50;646
Bahamas;;1;3;5;;1;7;;;2;1;2;22
Bermuda;4;;1;1;3;;1;2;4;3;;2;21
Cuba;15;21;19;11;18;13;11;17;17;19;19;14;194
Haití;;;1;;;;;;1;1;1;1;5
Jamaica;5;;;3;2;1;2;3;3;5;4;2;30
Puerto Rico1;;;;;;;;;;;;1;1
RepúblicaDominicana;15;19;13;24;21;20;20;19;16;13;18;20;218
Trinidad y Tobago;1;1;2;2;2;12;20;18;;3;5;3;69
Otros;2;1;4;7;4;2;3;53;2;2;1;5;86
EUROPA;8344;8024;8118;6618;4991;4084;6263;8059;4556;4180;6343;6834;76414
Alemania;1705;1697;2243;1555;991;671;1024;1308;1052;875;1516;1480;16117
Austria;266;231;278;107;103;75;167;240;156;79;153;172;2027
Bélgica;179;197;195;167;103;72;177;155;97;84;139;148;1713
Dinamarca;264;159;124;104;87;48;132;62;29;33;77;101;1220
Eslovaquia;25;31;25;15;40;11;14;13;13;12;23;40;262
España;785;754;674;839;580;518;852;1873;857;676;765;687;9860
Finlandia;94;61;63;42;23;20;29;11;20;32;60;133;588
Francia;772;867;779;711;477;433;617;769;300;414;569;685;7393
Hungría;28;19;15;41;11;12;13;14;5;8;40;29;235
Irlanda;78;93;71;59;102;74;105;144;48;64;71;66;975
Israel;283;344;391;402;356;314;344;267;267;149;175;215;3507
Italia;750;745;575;467;370;305;355;694;339;366;390;535;5891
Noruega;90;115;178;100;66;32;88;33;23;45;88;65;923
Países Bajos;624;573;516;323;331;286;772;681;392;365;512;511;5886
Polonia;122;104;79;51;57;33;74;50;47;49;127;99;892
Portugal;64;57;43;66;37;27;51;56;39;47;63;62;612
Reino Unido;822;828;785;785;694;707;910;1184;522;448;892;819;9396
Republica Checa;65;88;58;43;28;12;37;26;15;27;40;61;500
Rumanía;24;25;21;18;15;20;18;20;10;10;33;21;235
Rusia;134;67;124;45;47;64;35;58;45;77;53;68;817
Suecia;492;299;291;179;111;61;78;53;37;70;137;299;2107
Suiza;504;490;446;374;256;214;305;260;180;191;289;387;3896
Otros;174;180;144;125;106;75;66;88;63;59;131;151;1362
ASIA;243;306;310;234;203;209;230;227;184;172;251;306;2875
China;16;27;26;37;25;28;33;54;63;49;71;57;486
Filipinas;6;8;10;14;15;23;17;20;9;5;6;9;142
India;40;13;18;25;17;35;39;26;13;28;14;47;315
Japón;71;108;78;49;63;45;49;33;31;29;45;62;663
Rep. de Corea (Sur);79;68;40;44;51;34;55;41;44;30;41;55;541
Rep. Dem. Pop. Corea (Norte);;;;;;;;;;;;;
Taiwan;20;69;130;41;20;25;23;38;17;21;58;52;514
Otros;11;13;8;24;12;19;14;15;7;10;16;24;173
ÁFRICA;47;45;37;49;53;35;49;43;31;23;29;46;487
Arabia Saudita;;;1;2;;;1;;;;;5;9
Líbano;;2;;;2;;2;3;;;;2;11
Marruecos;2;1;2;;1;;;3;7;2;;3;21
Nigeria;;3;2;1;1;3;4;2;2;2;3;3;26
Sudáfrica;22;24;23;24;36;13;34;20;14;14;12;18;254
Otros;23;15;9;22;13;19;8;15;8;5;14;15;166
OCEANÍA;718;522;463;357;469;477;474;456;451;438;498;696;6019
Australia;611;473;379;284;383;379;348;346;375;344;411;617;4950
Nueva Zelanda;107;49;84;73;86;97;125;110;76;94;86;79;1066
Otros;;;;;;1;1;;;;1;;3
