País;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Total
TOTAL;18127;15400;17556;19307;14879;16023;18031;18627;19326;19644;22843;27748;227511
AMÉRICA DEL NORTE;4371;3947;4334;4627;3708;3513;4592;4451;3555;3873;4838;5069;50878
Canadá;1407;1372;1330;1275;942;574;649;662;549;775;1335;1570;12440
Estados Unidos;2784;2438;2854;3152;2600;2755;3736;3511;2814;2897;3173;3204;35918
México;180;137;150;200;166;184;207;278;192;201;330;295;2520
AMÉRICA CENTRAL;7617;5431;6785;8062;5849;7792;8342;8049;10934;10921;11684;15738;107204
Belice;3;3;4;16;2;2;3;14;3;3;3;6;62
El Salvador;134;112;166;308;174;168;397;568;524;430;438;1175;4594
Guatemala;83;50;102;199;86;135;152;115;155;259;213;418;1967
Honduras;423;237;880;478;286;380;650;428;651;839;810;1519;7581
Nicaragua;4693;3135;4326;4869;4028;4803;6060;5456;7418;7317;7427;9772;69304
Panamá;2281;1894;1307;2192;1273;2304;1080;1468;2183;2073;2793;2848;23696
AMÉRICA DEL SUR;958;732;602;594;604;635;623;739;737;659;642;750;8275
Argentina;329;225;205;206;228;232;276;301;273;243;228;262;3008
Bolivia;11;9;14;4;4;6;7;10;15;7;9;10;106
Brasil;75;55;85;95;108;108;77;92;95;65;59;112;1026
Chile;293;256;134;139;95;85;69;108;103;106;149;142;1679
Colombia;44;66;49;56;54;57;59;45;74;62;75;80;721
Ecuador;3;4;18;6;10;9;11;12;11;8;9;4;105
Guyana;1;1;3;;2;;2;5;2;4;2;;22
Paraguay;2;1;2;3;4;8;1;4;2;7;8;4;46
Perú;65;67;69;55;71;90;84;101;102;123;81;113;1021
Surinam;;;2;1;;;;;;;1;;4
Uruguay;43;12;13;21;15;24;28;44;42;30;14;10;296
Venezuela;92;36;8;8;13;16;9;17;18;4;7;13;241
CARIBE;14;16;21;17;13;16;19;19;18;21;21;22;217
Bahamas;;;1;2;;;1;;1;;;1;6
Bermuda;;;;;;;;;;;;;
Cuba;6;6;2;5;1;5;1;1;4;4;3;4;42
Haití;;1;;1;1;2;;2;;1;1;;9
Jamaica;1;;4;;;2;2;2;3;1;3;2;20
Puerto Rico1;;;;;;;;;;;;;
República Dominicana;5;2;9;8;9;5;15;9;4;10;10;11;97
Trinidad y Tobago;1;1;2;1;2;2;;2;4;3;4;2;24
Otros Caribe;1;6;3;;;;;3;2;2;;2;19
EUROPA;4980;5077;5645;5746;4453;3830;4147;5045;3741;3896;5340;5727;57627
Alemania;1109;1188;1493;1370;885;761;763;935;902;800;1338;1297;12841
Austria;104;120;123;110;100;80;89;128;106;75;111;109;1255
Bélgica;104;121;122;130;93;94;130;111;77;87;119;146;1334
Dinamarca;70;112;144;128;68;40;42;24;31;46;76;92;873
Eslovaquia;17;29;13;14;11;7;5;13;7;16;26;11;169
España;336;373;377;424;313;311;402;828;515;376;425;445;5125
Finlandia;21;30;20;23;17;12;11;8;7;29;40;49;267
Francia;568;594;637;594;479;437;426;409;274;378;465;578;5839
Hungría;15;19;21;9;9;17;8;5;11;15;35;21;185
Irlanda;44;42;49;67;60;71;108;89;34;70;89;118;841
Israel;334;371;289;358;386;434;404;420;384;348;187;259;4174
Italia;231;243;245;221;176;159;186;265;176;180;189;300;2571
Noruega;57;56;83;53;17;17;50;33;17;48;85;76;592
Países Bajos;503;437;505;646;579;406;474;551;283;384;513;497;5778
Polonia;146;89;118;106;60;51;72;27;56;66;171;73;1035
Portugal;38;33;44;29;33;42;40;41;41;21;25;46;433
Reino Unido;341;475;561;733;666;559;534;640;465;455;708;808;6945
Republica Checa;76;85;79;67;35;24;46;39;26;32;100;81;690
Rumanía;102;38;14;12;13;11;9;10;20;33;21;29;312
Rusia;96;89;35;61;50;42;33;52;29;44;69;76;676
Suecia;134;93;179;111;70;41;37;28;13;49;71;106;932
Suiza;390;347;380;361;271;185;224;285;220;262;333;364;3622
Otros Europa;144;93;114;119;62;29;54;104;47;82;144;146;1138
ASIA Y EL PACÍFICO;143;169;149;232;223;203;270;288;303;241;293;403;2917
China;15;36;28;16;41;15;34;39;38;18;30;31;341
Filipinas;17;22;7;22;12;14;19;13;18;19;17;20;200
India;9;12;12;20;11;19;17;13;16;5;9;18;161
Japón;6;11;10;6;10;12;11;21;7;21;20;26;161
Rep. de Corea (Sur);8;19;14;59;15;23;44;14;36;25;25;46;328
Rep. Dem. Pop. Corea (Norte);;;;;;;;;;;;;
Taiwan;8;5;5;13;9;23;17;10;14;6;8;24;142
Australia;59;45;52;70;98;70;103;135;133;107;146;175;1193
Nueva Zelanda;13;14;13;20;22;20;15;35;35;28;29;46;290
Otros Asia y El Pacífico;8;5;8;6;5;7;10;8;6;12;9;17;101
ÁFRICA;39;27;18;26;24;33;33;33;32;28;23;39;355
Marruecos;3;4;3;2;;4;1;1;;2;2;2;24
Nigeria;1;;;;;;2;;;;;;3
Sudáfrica;32;19;13;23;22;26;25;31;29;25;16;33;294
Otros África;3;4;2;1;2;3;5;1;3;1;5;4;34
ORIENTE MEDIO;5;1;2;3;5;1;5;3;6;5;2;;38
Arabia Saudita;;;1;1;4;;4;;2;;;;12
Egipto;3;1;;2;;;1;;;1;;;8
Emiratos Árabes Unidos;1;;;;;;;;;;;;1
Jordania;;;;;1;;;;;1;;;2
Líbano;;;1;;;;;1;1;;;;3
Otros Oriente Medio;1;;;;;1;;2;3;3;2;;12
